唐代墓志汇编续集 PUA 悬置（2026-09-10）
套语定谳：E20F窀(437) E3AB楸(125) E3E3昊(44) E4C0/E4C1琅(132) E266阎(43)
其余 4192 处为志文俗字/泐字（无点校本可核），回退 □：

U+E2B3 ×5  …名高乡曲，利用王庭，弃幽谷之，对金门之策。乃授雍州新丰…
U+E4A1 ×5  …器符先进。其一。鸿陆斯渐，骥余足。阅水难留，劳生易促。…
U+E234 ×5  …故闻喜县主墓志主讳婉顺，字不娘。高祖武皇帝之孙，隐太子…
U+E385 ×5  …，身长八尺，腰带十围，辩耀碧，词警素。而西州石折，…
U+E48B ×5  …！吉往凶来，需骖顾步，山路回，古松有偃，佳城傥开，式…
U+E404 ×5  …辇勤著，吐名扬，来仙闼，文议怀芳。其四。戎机之重，…
U+E483 ×5  …贷，乐道忘荣，难迁土之情，感榆之志，戢图南□桥翼，委东…
U+E321 ×5  …彩，百里应翔鸾之美，五校竦严之姿。君少遇时屯，窜身荒野…
U+E33D ×5  …。祗宠掖垣，曳裾梁邱，道光拥，恩崇置醴，芝捡将陪，蒿扃…
U+E459 ×5  …乡。昊天不，扣地扌延灾，惜妇而衔□，抚遗孤而绝息。乃…
U+E45D ×5  …贲象，毕陌联逵。哀笳嘹唳，容逶迟，盛德不朽，洪勋在兹。…
U+E3B3 ×5  …礼，字仪，河南雒阳人也。郊子，盖原兴其远庆；河鸟传…
U+E4A4 ×5  …⏎号天扣地，攀诉无及。烦冤臆，肝心殒愤。所司闻奏，主…
U+E01F ×5  …远，仁孝淳深。恐是□堙波，圭城＊漠，敬刊贞石，乃为颂…
U+E7D1 ×5  …式侍坤闱。兰风载穆，薤露旋，厚夜，有去无归。⏎（周…
U+E387 ×5  …家於长安，今为长安人也。曾祖，隋任银青光禄大夫、营州刺…
U+E3A7 ×5  …戊子十五日壬申入塔门人比丘法书（录自《文物》一九九三年…
U+E16F ×5  …；崇勋将成，天命不借。嗣子朝等，孝思罔极，泣血惊号，恐…
U+E430 ×5  …古。铭曰：⏎天降地腾，二气，中有至和，发为仁人。生…
U+E425 ×4  …，经缠清正。披沥丹素，解释缨，光扬朝序，裔仙衣。烧香…
U+E1DF ×4  …一日，交河郡民公听上敢望汜延，春秋＊六，遇患殒丧，卒於…
U+E801 ×4  …年岁次戊戌十月朔廿七日，惟故延海妻张氏夫人欢台，春秋年…
U+E25C ×4  …人也。君禀灵□质，特挺英姿，氵养泉源，讵一二而能测，心…
U+E3D6 ×4  …人，近紫榆塞，连兵左衽，亟扰烽，由是命公喻其君长。於时…
U+E1CE ×4  …。五代祖统，梁昭明皇帝。高祖，梁宣皇帝。曾祖岑，梁吴王…
U+E2FC ×4  …，□年代遐＊，令德淑□，□刊，式照遗烈。乃为铭曰：…
U+E3E6 ×4  …，太宗临朝，告以定公之患。君欷哽咽，悲动圣衷，乃驰驿遣…
U+E40B ×4  …时骧首，应机投袂。睹砀云而式，仰谯星以载驰。粤自艰危，…
U+E213 ×4  …辇推贤。绸直无爽，婉不褰，＊祥集，郊辚庆延。宠齐广封…
U+E206 ×4  …，四履繁杂。莱风未粹，尚行讠劫之凶；淄俗犹奢，仍存博鞠…
U+E38D ×4  …咏烛，赏彩卅段；他日，赋公泛金塘诗成，谓高宗曰：元超父…
U+E447 ×4  …至。又复留情彼岸，翘首净居，玩众经，不离朝暮，天亲天著…
U+E412 ×4  …太原人焉。粤以金天锡祚，胤少之英宗；弱水孕灵，系高顼之…
U+E22B ×4  …。不其盛欤！君抱醇熙之德，怀豫之懿，非礼不言，□义不动…
U+E37B ×4  …知後对帮。寿命债天，翻霜迅扌，地难退，溘从朝露。州闻…
U+E2A1 ×4  …神道铭并序　明经天官常选侄孙书□朝□大夫上柱国守凤阁舍…
U+E173 ×4  …而接物。性理明润，类赵璧之无；襟灵秀逸，譬岩松之孤上。…
U+E4A9 ×4  …，无忝嘉声。祖世立，隋卫州扌嘉县令、大理司直、左骁卫长…
U+E3B0 ×4  …。其二。承家嗣美，翳惟是赖。坞释簪，虞郊弛带。三河道直…
U+E149 ×4  …县唐村之原，礼也。固箫楚挽，唳出於通庄；画柳朱︶，逶迤…
U+E371 ×4  …府君墓志铭并序尚书考功郎中苏撰公讳懿宗，太原文水人也。…
U+E26A ×4  …声优断割。理剧旗亭之内，拨繁之中。任侠之党绝踪，□游…
U+E4B4 ×4  …若水，中山城人也。其先出自阝国，为鲁附庸，厥後因而命…
U+E44A ×4  …给太常鼓吹一部送出。嗣子□□言，日思，泣血沾襟，羸形…
U+E329 ×4  …岁。君风云逸气，秉节高亮，轹酋豪之党，挫拉＊＊之流。…
U+E435 ×4  …，血垂骨立。伊山北阜，洛水南，地显冢高，聚柏横云。千秋…
U+E414 ×4  …大粱，举以效顺。封略千里，戈万夫，回吠尧之响，为获兔之…
U+E2BE ×4  …；次曰孝锷，上轻车都尉，皆琅异质，倜傥殊材，或省寺优游…
U+E419 ×3  …和，宾庭谨敬。灵关眇眇，骊驾，雾侵景谷，霜犯衣。莲…
U+E7CD ×3  …眇，骊驾，雾侵景谷，霜犯衣。莲花夏落，细柳春衰，三…
U+E113 ×3  …人也。昔文王开基，周诗播其遗；穆伯命氏，鲁史赞其余风。…
U+E1DB ×3  …，洪波万顷，弗矜弗伐，嘉猷徽，逝川东注，落日西倾，魂随…
U+E461 ×3  …众闲之叙，御史职台衡之务。舄冠盖，蝉联名德。曾祖明孙，…
U+E0EC ×3  …览中箧以增悲，抚遗孤而永恸，恭姜之贞节，咏柏舟而誓心。…
U+E2F6 ×3  …□年代遐＊，令德淑□，□刊，式照遗烈。乃为铭曰：⏎…
U+E360 ×3  …【志文】⏎君讳亮，本潞州铜县人也。取睽锡姓，派轩后□…
U+E1AC ×3  …之秘旨。属夫炎纲弛紊，昏政回，天不我将，其祸以尽。绿林…
U+E323 ×3  …，引居幕府，授左三统军。＊跃飞，累陪攻战，修戈驻日，长…
U+E0B6 ×3  …，叹万古之无追。式琅周玄楚，为铭曰：⏎高阳启命，徐方…
U+E457 ×3  …卜食，圣朝銮驾，肃事宗，林所□，允膺斯任。至□□阳正…
U+E41A ×3  …李之姿，修短合纤之哀。忧勤＊，肃事言容。既受教于公宫…
U+E455 ×3  …。寒温色养，尽於事亲，冰清玉，不杂风尘。方圆令则，举止…
