清史稿 PUA 悬置（2026-09-10）：3299 处（236 码位）。无库内平行本，据「不猜不改」回退 □，待点校本核补。

U+E829 ×1  …，原隶塞垣。遂极亥章之步，网之乡，莫不奉正朔，备我外籓…
U+E82E ×1  …，煌煌丽辞。原续雅颂，永镇厜。十五解⏎　　乾隆二十五…
U+E409 ×1  …里倭缎缘回回帽，青缎鞾，绿绸荅膊。司舞二人，舞盘二人，…
U+E834 ×1  …石。青缎为带。吉服冠顶用碧■。馀同贵妃。⏎　　金约，…
U+E835 ×1  …翟，饰东珠九，珍珠十七，上衔子。硃纬。上周缀金翟五，饰…
U+E019 ×1  …肇中亦以贿伏法，考官检讨介孝、主事刘俨失察削职。咸丰八…
U+E017 ×1  …银。⏎　　二年，江西巡抚裴度奏裁里长。时廷臣有言大小…
U+E840 ×1  …改为下口，开新河自郭家务至长河，凡七十里，经三角淀达津…
U+E845 ×1  …曰平底船，曰双篷哨船，曰平底船。内河战船名号凡九类：曰…
U+E84A ×1  …等刑，强盗人命酌用夹棍，妇人指，通不得过二次。其馀一切…
U+E19E ×1  …罪囚视罪名轻重，定用铁锁杻钅道数。若中途不觉失囚，讯明…
U+E84B ×1  …撰。愚一录十二卷。郑献甫撰。经笔记一卷。陈倬撰。隶经賸…
U+E6A7 ×1  …缪祐孙撰。授经图四卷。明硃睦原本，黄虞稷、龚翔麟重编。…
U+E84D ×1  …斌撰。李二曲历年纪略二卷。惠嗣撰。杨园先生年谱四卷。陈…
U+E84E ×1  …龄修。兗州府志三十二卷。陈顾修。沂州府志二十三卷。李希…
U+E4B0 ×1  …。韩百谦撰。越史略三卷。不著人氏名。海外纪事六卷。释大…
U+E4AE ×1  …撰。⏎　　不知时代撰人颅(页)经二卷，宋王衮博济方五…
U+E857 ×1  …桑弢甫集八十四卷。桑调元撰。堂集六十一卷，香屑集十六卷…
U+E858 ×1  …述撰。授堂文钞八卷。武亿撰。轩所著书六十卷。孔广森撰。…
U+E624 ×1  …，贤而有功，斯为最著。他若拉多尔济，宫门殄逆，承祖泽；…
U+E70E ×1  …州、惠州、广州，击杀明唐王聿及诸王世子十馀人，承制以养…
U+E01A ×1  …王。旋薨，予谥。⏎　　子永，袭。五十四年，薨，谥曰简…
U+E6F7 ×1  …、明世宗之议礼是也。张璁、桂之俦，无足论矣。忠如韩琦，…
U+E769 ×1  …督军务，抚宁，并敕朝鲜国王李发兵夹击。十一?侯硃永佩靖…
U+E764 ×1  …弟额尔格勒珠尔喀兰图扎克托会楚克图英珲津⏎　　沙尔布…
U+E542 ×1  …、张弘谟、刘天禄、曹恭诚、孟等攻灤州，灤州下，遂逼永平…
U+E16F ×1  …云南，屡败吴世璠将胡国柄、刘龙、黄明等，又困其将马宝、…
U+E56D ×1  …，芳述移兵会剿，深入苗地，平塘山及葫芦、天星诸寨。疏言…
U+E0CC ×1  …迁徙皆无幸。⏎　　属苗内愤，乌蒙倮最狡悍，总兵刘起元…
U+E66B ×1  …部。四年，致仕。五年，卒。孙，廕生，初授主事，官至江苏…
U+E543 ×1  …赏罚。水涨护防，仍以鸭埠、鱼诸税充用。”寻赴福建。六年…
U+E47D ×1  …并将骆马湖入运处改在皁河以上车头，建闸挑渠，引水济运。…
U+E629 ×1  …，署江南河道总督。泰兴县有硃者，坐主使杀人罪至绞，乞赎…
U+E48A ×1  …景山坪、皮货铺，川贼龙绍周窜池坝，欲应天元，扼之贯子山…
U+E1BE ×1  …品京堂用，允之。江西举人彭良为子贿买吏员执照，光悌与为…
U+E48D ×1  …那夜分三路捣其巢，伏兵隘路苟岩要击，痛歼之，毙首逆吴尚…
U+E0CF ×1  …有V酳；齁咝星浚湫∏远滪橥蟮粒环址拭攴ǎ涫坷嘁喔首…
U+E0DE ×1  …首魑鸭摇＝偃ヂ砼＃劾帐辏髂空诺ǎ敛晃饭佟Ｗ茉挡兑…
U+E0D5 ×1  …偃ヂ砼＃劾帐辏髂空诺ǎ敛晃饭佟Ｗ茉挡兑巯び牍戳…
U+E0BE ×1  …ǎ敛晃饭佟Ｗ茉挡兑巯び牍戳饺辗衷撸偈彼托拧Ｉ踔潦…
U+E0E1 ×1  …敛晃饭佟Ｗ茉挡兑巯び牍戳饺辗衷撸偈彼托拧Ｉ踔潦…
U+E7A8 ×1  …饺辗衷撸偈彼托拧Ｉ踔潦抡咭运呖夜俨段郏员讣鬯…
U+E01F ×1  …彼托拧Ｉ踔潦抡咭运呖夜俨段郏员讣鬯绞晡恪Ｖ菹丶攘…
U+E0ED ×1  …拧Ｉ踔潦抡咭运呖夜俨段郏员讣鬯绞晡恪Ｖ菹丶攘哐…
U+E010 ×1  …咭运呖夜俨段郏员讣鬯绞晡恪Ｖ菹丶攘哐吨剩植唤…
U+E245 ×1  …郏员讣鬯绞晡恪Ｖ菹丶攘哐吨剩植唤擦凡吨ǎ患任…
U+E1AE ×1  …员讣鬯绞晡恪Ｖ菹丶攘哐吨剩植唤擦凡吨ǎ患任藁竦…
U+E18E ×1  …菹丶攘哐吨剩植唤擦凡吨ǎ患任藁竦林停植谎贤ǖ…
U+E1A0 ×1  …剩植唤擦凡吨ǎ患任藁竦林停植谎贤ǖ林铩＜嬉宰怨…
U+E1AD ×1  …ǎ患任藁竦林停植谎贤ǖ林铩＜嬉宰怨舜Ψ郑蓟涫危…
U+E200 ×1  …谎贤ǖ林铩＜嬉宰怨舜Ψ郑蓟涫危笪。趟幻狻…
U+E0D6 ×1  …铩＜嬉宰怨舜Ψ郑蓟涫危笪。趟幻狻＜┎吨…
U+E1E9 ×1  …铩＜嬉宰怨舜Ψ郑蓟涫危笪。趟幻狻＜┎吨兹…
U+E02F ×1  …嬉宰怨舜Ψ郑蓟涫危笪。趟幻狻＜┎吨兹绱恕…
U+E2A3 ×1  …Ψ郑蓟涫危笪。趟幻狻＜┎吨兹绱恕Ｇ覆磺…
U+E188 ×1  …危笪。趟幻狻＜┎吨兹绱恕Ｇ覆磺澹蚩骺漳讯…
U+E0EF ×1  …幻狻＜┎吨兹绱恕Ｇ覆磺澹蚩骺漳讯乓病６≈菹卣忧…
U+E087 ×1  …恕Ｇ覆磺澹蚩骺漳讯乓病６≈菹卣忧福戮膳惭冢…
U+E43D ×1  …磺澹蚩骺漳讯乓病６≈菹卣忧福戮膳惭冢拔食！…
U+E0EB ×1  …骺漳讯乓病６≈菹卣忧福戮膳惭冢拔食！Ｆ浔子伸…
U+E301 ×1  …膳惭冢拔食！Ｆ浔子伸督淮磺澹匀娜我灾潦湃危…
U+E0F2 ×1  …拔食！Ｆ浔子伸督淮磺澹匀娜我灾潦湃危B葛不…
U+E1B9 ×1  …子伸督淮磺澹匀娜我灾潦湃危B葛不清者，比比皆是…
U+E0F9 ×1  …淮磺澹匀娜我灾潦湃危B葛不清者，比比皆是。官亏…
U+E71F ×1  …武汉后，进攻蕲州，翼升自蒜花出战败贼，焚其舟，擢都司。…
U+E57E ×1  …乾、嘉文物之盛者，惟大学士祁藻与樑二人，为士林所归仰云…
U+E703 ×1  …大学士王直之为旧臣，而犹以黄请立景帝太子一疏不出我辈为…
U+E68E ×1  …败绩，退安宁，分兵扼腰站、禄。逾岁，寇涌至，再败，毓秀…
U+E4A3 ×1  …乞降。连日乍浦贼熊建勋、海盐浦贼皆反正。十二月，秀成留…
U+E4B6 ×1  …九曰崇古以知古字，如鷐、鴠、、之类，经典有不从鸟者，…
U+E32C ×1  …始昌，至刘氏父子传之，皆善推福著天人之应。汉儒治经，莫…
U+E707 ×1  …间，以骈文称者，又有吴绮，字次，江都人。维崧导源庾信，…
U+E566 ×1  …虑不能继，日舂升许供父，而以秕自咽。父病剧，夜中邻人时…
U+E0DD ×1  …营甘旨奉父母。居丧营葬，身穿负土，唐为姑吮疽。⏎　　…
U+E4C3 ×1  …授以三字经。卧榻之下，牛宫鸡，无下足处。晨则秉耒出，与…
U+E4C8 ×1  …巘真及行书，翁方纲行书，于令行书，巴慰祖分书，顾光旭行…
U+E4CA ×1  …奉化，自祖父居鄞，至来咸徙同，从同里单思南受内家拳法。…
U+E349 ×1  …证也。玉鉴斗斛之“斗”别作“”，此假借字，本汉书平帝纪…
U+E4CE ×1  …母织子诵，往往至夜分。翘大父尝守大同，父公寀独偿大同官…
U+E4D0 ×1  …，呼救。鱼舟集，援出水，凤筠栗无人色，犹为父易衣。夜半…
U+E4D1 ×1  …顺庆知府。川东啯匪为乱，龙见师出御，贼自间道来袭，吏民…
U+E74E ×1  …点丛麻红，母子支离宵不旦。飞雷聚惊鼓鼙，秋雨淋漓断薪爨…
U+E4D6 ×1  …令上马，女持鞭鞭贼，骂曰：“子！安敢尔？”贼絷女，挟刃…
U+E4D7 ×1  …，从容语其姊曰：“兒稍长，履可取诸市，不烦手自制矣。兒…
U+E4D9 ×1  …妻单，永宁人。郝奇丑，眇小，且跛，一目，口不能言。御小…
U+E4DA ×1  …十五。⏎　　狄听妻王，名甥。听，溧阳人，道光九年进士…
U+E752 ×1  …求死，姑操巨箠挞之，女引剪自，未殊。邻人戒其姑，毋急女…
U+E023 ×1  …原管有上临卡石、下临卡石、冈、桑隆、上阿苏、下阿苏、郭…
U+E4DF ×1  …各土司，皆领有号纸。⏎　　栗坪土千户，其先卜佐，凉山…
U+E4E0 ×1  …州阿尚夔归附，仍授世职。曾孙远，因纵贼殃民，雍正四年改…
U+E4E1 ×1  …同知。清顺治十六年，土同知高映归附，仍授世职。传至李厚…
U+E4E2 ×1  …党文元、胡世昌於阵，遂乘胜破呷寨。吉兆闭寨拒守，官兵围…
U+E4E3 ×1  …在府西北。宋开宝初，土官莫洪内附；元丰三年，置州，管辖…
U+E4E4 ×1  …，下所司知之。十二月，御史联奏库伦商卓特巴喇嘛达什多尔…
U+E4E5 ×1  …”。遣使往讯，庆尚道观察使李、东莱府卢协并言朝鲜、日本…
U+E4E7 ×1  …成，美使薛裴尔，朝鲜议约官申、金宏集盟於济物浦，汝昌、…
U+E4ED ×1  …左右具书以归。丁酉，陈锦布、毯百馀端，献经略将军，而进…
U+E4EE ×1  …香、西洋闪金缎、象牙、胡椒、黄、豆蔻、沉香、乌木、大枫…
U+E4F2 ×1  …首进贡谢恩。三十四年，又进玉双匕首。⏎　　博罗尔人别…
2026-09-10 □核补轮（kanripo donor 简繁双接受）：归字 1045 字/1033 组；未决 2263 字（志/注文/异文，待点校本）。
